data_arquivamento,acessibilidade,impacto_ambiental,nome,democratizacao,justificativa,mecanismo,resumo,sinopse,especificacao_tecnica,data_inicio,objetivos,ficha_tecnica,etapa,data_aceite,id,estrategia_execucao,data_termino
,"Participação em Lançamentos de Livros e Exposições de Artes Plásticas: rampas para acesso de portadores de necessidades especiais.","","Arte e Cultura para Todos: criação, divulgação e publicação de arte literária e visual aldravista","Desenvolver um lançamento de livro com sarau no largo da Matriz localizada em região periférica menos assistida culturalmente na cidade de Mariana. Bairro: Cabanas Distribuição gratuita de jornais cul","A proposta é dar continuidade aos projetos de criação, divulgação e estímulo à criação literária e pictórica desenvolvida há 08 anos pelos poetas e artistas do Jornal Aldrava Cultural. Desde Novembro","Mecenato","01 exposição individual de Arte Aldravista no Museu Alphonsus de Guimaraens (março). Mariana. Produzir e editar 10 edições do Jornal Aldrava. Produzir e editar 04 edições do Jornal Aldravinha Cultural. Edição de catálogo contendo 130 obras aldravistas.Edição e Lançamentos com saraus da I Antologia Infanto-Juvenil de Poesias e Prosas Aldravistas. Edição e Lançamentos da 2ª Coletânea de Manifestos/Poesias e Prosas Aldravistas com exibição de vídeos-poema aldravistas.","","","2009-04-02","OBJETIVO GERAL Promover encontros contínuos de escritores, poetas, cronistas, contistas, membros de academias de letras, artistas plásticos, editores, criadores e gestores culturais do Jornal Aldrava","","ETAPAS DE TRABALHO   ETAPA 1:   FEVEREIRO   Buscar parcerias e captar recursos. Firmar parceria com o Museu Casa Alphonsus de Guimaraens para cessão de espaço para exposição. Edição Jornal Aldrava Cu",,11,"","2009-12-28"
,"Participação em Lançamentos de Livros e Exposições de Artes Plásticas: rampas para acesso de portadores de necessidades especiais.","","Arte e Cultura para Todos: criação, divulgação e publicação da arte literária e visual aldravista","Desenvolver um lançamento de livro com sarau no largo da Matriz localizada em região periférica menos assistida culturalmente na cidade de Mariana. Bairro: Cabanas Distribuição gratuita de jornais","A proposta é dar continuidade aos projetos de criação, divulgação e estímulo à criação literária e pictórica desenvolvida há 08 anos pelos poetas e artistas do Jornal Aldrava Cultural. Desde Novembro","Mecenato","01 exposição individual de Arte Aldravista no Museu Alphonsus de Guimaraens (março). Mariana. Edição de um catálogo com 130 obras Aldravistas de Déia Leal. Produzir e editar 10 edições do Jornal Aldrava. Produzir e editar 04 edições do Jornal Aldravinha Cultural. Edição e Lançamentos com saraus da I Antologia Infanto-Juvenil de Poesias e Prosas Aldravistas. Edição e Lançamentos da 2ª Coletânea de Manifestos/Poesias e Prosas Aldravistas com exibição de vídeos-poema aldravistas.","","","2009-04-14","OBJETIVO GERAL Promover encontros contínuos de escritores, poetas, cronistas, contistas, membros de academias de letras, artistas plásticos, editores, criadores e gestores culturais do Jornal Aldrava","","ETAPAS DE TRABALHO   ETAPA 1:   FEVEREIRO   Buscar parcerias e captar recursos. Firmar parceria com o Museu Casa Alphonsus de Guimaraens para cessão de espaço para exposição. Edição Jornal Aldrava Cu",,12,"","2009-12-31"
"2010-05-27","O livro é, por excelência, um objeto de larga acessabilidade a portadores de necessidades especiais, devido às suas facilidades de manuseio e portabilidade. Contudo, em alguns casos de necessidades es","","Projeto livro biografia de mulher brasileira no Marrocos","Para garantir a democratização do acesso ao livro em questão, a proponente compromete-se a distribuir gratuitamente 100 exemplares do livro à bibliotecas públicas e comunitárias, de modo que tal distr","Contar uma história romântica, com personagens cujas vidas são bem definidas e inseridas dentro de um profundo universo humano, figura como preciosa oportunidade para que o público leitor mergulhe, at","Mecenato","Escrever, editar e lançar a biografia de uma brasileira que, já no século XXI, aos 60 anos, conheceu via internet um militar marroquino islâmico de 30 anos, com o qual envolveu-se ao ponto de mudar-se para o Marrocos, casando-se com ele, e enfrentando todos os desafios legislativos e sociais provenientes da união amorosa entre um homem e uma mulher com tamanhas diferenças etária, religiosa, cultural e étnica.","","","2009-06-02","O projeto tem como objetivo proporcionar à sua proponente suporte de infra-estrutura, pesquisa, preparação e despesas de viagem para que ela escreva um livro que conta a biografia de uma brasileira qu","","O projeto está estruturado no intuito de iniciar-se e concluir-se no período de 14 meses, estando dividido nas 3 etapas descritas a seguir:   1ª Etapa: de preparação para viagem ao Marrocos – duração:",,13,"","2010-06-02"
"2011-06-11","O site disponibilizará recursos de acessibilidade e navegação com adaptação a diferentes tipos de conexão como, por exemplo, navegadores mais antigos, computadores menos potentes, ou sem mouse, e out","Oficinas de rádio digitais realizaas em comunidades tradicionais.","SOPA DE LETRAS (WEBSITE)","A democratização do acesso se dará com atividades de produção e desenvolvimento de tecnologias para a preservação, ampliação e difusão da produção cultural para crianças com foco na promoção da leitur","O Brasil chega ao século XXI com enorme déficit no que diz respeito às práticas leitoras dos textos escritos. Sem a mediação efetiva dos livros e dos processos leitura, passou da oralidade para a cult","Mecenato","Proposta: Cultura Digital _ Produção e Difusão. O Sopa de Letras pretende que a leitura-escrita, aliada às TIC´s, seja suporte para projetos culturais, desenvolvidos pela comunidade, professores e alunos. Trata-se de um trabalho pedagógico que considera a comunicação como instrumento de inclusão social e se fundamenta na leitura como elemento propulsor. O material cultural produzido cria vínculos entre o saber local das comunidades periféricas e tradicionais e o fazer literário.","Sopa de Letras é um programa de rádio criado para despertar o prazer pela leitura: trata-se de um trabalho pedagógico – sempre com a intermediação do computador – que considera a comunicação como instrumento de inclusão social e se fundamenta na leitura como elemento propulsor. O material cultural e pedagógico, produzido a partir das tecnologias de informação e comunicação, criam vínculos entre o saber local das comunidades periféricas e tradicionais e o fazer literário, como representação do saber global. Cada programa aborda um tema presente na produção literária e fonográfica para crianças, numa obra onde o ingrediente principal é a literatura, misturada à narração de histórias, trabalhado através de personagens, entrevistas, dicas de livros, filmes, músicas e sites. Tudo isso regado com um tempero especial: boa música!","Não haverá aquisição de bens materiais permanentes.","2010-06-01","Criado em 2005 o programa de rádio Sopa de Letras teve sua interface web desenvolvida e publicada em 2006 pelo projeto universitário: Tecnologias de Informação e Comunicação na Produção Cultural par","Coordenação geral: Adriana ParadaProdução Executiva: Daniela ArantesDireção: Angelita Pereira LimaRoteiro:Ana Clara de Britto GuimarãesPedro Lima MendonçaAdriane LopesEntrevistas:Adriane LopesAna Clar","PRÉ-PRODUÇÃO/PREPARAÇÃO (1) Reunião com a equipe executora para a definição da equipe de trabalho e adequações administrativas. (2) sob a orientação de um consultor web a coordenação do projeto defini",,14,"Público alvo: Crianças, mediadores de leitura, professores e alunos da rede pública de ensino; comunidades tradicionais; comunidades quilombolas e indígenas. Beneficiados 1.200 pessoas Estratégia: Pro","2011-05-30"
"2010-01-14","Pela experiência anterior da produtora deste projeto no trabalho com crianças com dificuldade de aprendizagem,em parceria com a SMEC (Projeto na Ponta do Pé) que desenvolvem suas potencialidades atrav","","OLHARES MÚLTIPLOS - DANÇA, EDUCAÇÃO E CIDADANIA - ANO 1","As 40 vagas ofertadas pelo projeto serão preenchidas através de seleção avaliada pelos professores, fisioterapeuta, médico e psicólogas do projeto. Os critérios de seleção levarão em consideração as c","Dentro do princípio de que a cultura é como um campo de luta da significação social. Um campo onde não se definem apenas conceitos, mas as formas como as pessoas devem produzir cultur","Mecenato","Projeto de educação infanto juvenil que visa promover a cidadania, e a inclusão social e cultural, de crianças e adolescentes de famílias de baixa renda, através de atividades na área de dança, psicologia, medicina, fisioterapia, nutrição e direito.","","","2009-04-05","OBJETIVO GERAL: Promover o acesso à arte, a educação e a integração social de adolescentes entre 12 e 16 anos.   OBJETIVOS ESPECÍFICOS: Democratização e descentralização da cultura. Educar e sociabil","","",,15,"","2009-04-18"
,"- Os espaços onde ocorrerão os cursos passarão por adaptações para deficientes com dificuldade de locomoção; - Será ministrado palestras para portadores de deficiencia mental, em parceria com a APAE,","","A ARTE INCENTIVA A LEITURA","O Projeto atenderá todas as camadas da população   Grupos de dança   Grupos de Teatro   Grupos de Circo   Jovens e adolescentes da zona de risco   Alunos da rede pública de ensino e comunidade geral","È bem verdade, que logo nos primeiros anos de vida do estudante a leitura deve ser aplicada da melhor e mais fácil maneira possível. A alfabetização, por exemplo, é ponto chave para o desenvolvimento","Mecenato","INCENTIVAR A LEITURA E PROFISSIONALIZAR NAS ÁREAS DE TEATRO, DANÇA E CIRCO JOVENS E ADOLESCENTES DA ZONA DE RISCO E ALUNOS DA REDE PÚBLICA DE ENSINO DA CIDADE DE FLORIANO NO PERIODO DE MAIO A SETEMBRO, TENDO COMO RESULTADO I MOSTRA DE ARTES INTEGRADAS DO PIAUÍ.","","","2009-05-01","OBJETIVOS GERAIS Incentivar a leitura atraves da profissionalização nas áreas de teatro, dança e circo (tecido aéreo) de 600 jovens e adolescentes da zona de risco, alunos da rede pública de ensino e","","1ª Etapa:   -         Captação dos recursos junto as empresas; -          Abertura com a apresentação do projeto “A Arte Incentiva a Leitura” no Espaço Cultural Maria Bonita com a participação de tod",,16,"","2009-09-30"
,"Com o objetivo de permitir o ingresso de pessoas portadoras de deficiência física, os locais de lançamento, tanto na capital gaúcha com nas cidades do interior, terão o accesso facilitado através de r","","X","Com o objetivo de democratizar o acesso de camadas menos favorecidas ao material elaborado pelo projeto, teremos: - Acesso gratuito a exposição de fotos constantes no livro; - Distribuição gratuita de","É notório que a história de uma cidade, estado ou país deve-se muito aos povos que escolheram aquele lugar como sua moradia, seu habitat para criar sua família. Num mesmo local podemos ter diferentes","Mecenato","Publicação de um livro que relate a história de dezessete povos que ajudaram a colonizar o estado do Rio Grande do Sul (alemães, italianos, japoneses, judeus, índios, espanhóis, açorianos, negros, árabes, palestinos, chineses, coreanos, poloneses, russos, suecos, austríacos e ucranianos). Quais suas contribuições para a cultura e o desenvolvimento do estado. Lançamento do livro na capital gaúcha e em quatro cidades do interior. Tiragem de três mil exemplares, com distribuição gratuita.","","","2009-04-10","GERAL: - Editar e publicar um livro que mostre a história de dezessete povos que  ajudaram a colonizar o estado do Rio Grande do Sul: sua contribuição para o crescimento, como eles viveram e vivem atu","","A edição do livro “Retratos Gaúchos: Seus Povos, Sua Alma” prevê as seguintes ações: ABRIL Captação dos recursos com apoio da Lei Rouanet; ABRIL, MAIO E JUNHO Organização da equipe de editor, pesquisa",,17,"","2009-12-31"
"2011-06-11","Proporcionar condições de acessibilidade a pessoas idosas, nos termos do art. 23 da lei no 10.741, de 1o de outubro de 2003, e portadoras de deficiência, conforme o disposto no art. 46 do decreto n o","","ESCOLA DE CULTURA POPULAR DO NORTE DA ILHA","A proposta de ação é contratar professores e animadores, de diversos gêneros, da cultura popular e acadêmica, da educação popular em geral, e oferecer cursos de formação qualificada e oficinas prática","Tomamos a iniciativa de propor a realização do projeto devido à falta de estruturas de formação e fomentação da cultura popular no Norte da Ilha de Florianópolis, pois é necessário melhor organizar a","Mecenato","Objetivo do projeto é formar novos Agentes de Cultura Comunitários e incentivar ações concretas de fomentação cultural no Norte da Ilha de Florianópolis. O projeto de criação da ESCOLA DE CULTURA POPULAR DO NORTE DA ILHA, a ser implementado em parceria direta com um produtor cultural, vai acontecer através de atividades de oficinas, cursos de formação, seminários, aulas educacionais e apresentações públicas culturais.","","","2009-06-01","Objetivo Geral do projeto é formar novos “Agentes de Cultura Comunitários” e fomentar ações concretas de fomentação cultural no Norte da Ilha.   O projeto de criação da “ESCOLA DE CULTURA POPULAR DO N","","Etapa 1 - Março a Junho\2009 Levantamento de estruturas para implantação do projeto;Buscar parceria para o local de realização do projeto; Etapa 2 - Março a Junho\2009 Seleção e cadastramento de Ofici",,18,"","2010-06-01"
,"O acesso é livre a qualquer interessado. O Palácio das Artes, onde é realizada a mostra, possui acesso exclusivo para portadores de necessidades especiais.","A mostra será realizada na Fundação Clóvis Salgado, e escolas da Rede Municipal de Ensino da Prefeitura de Belo Horizonte, que possuem programas específicos para impacto ambiental. Preocupado com a qu","7 MUMIA - MOSTRA UDIGRUDI MUNDIAL DE ANIMAÇÃO","Em 2007, na quinta edição da mostra iniciamos com exibições em 4 escolas do Programa Escola Integrada da Rede Pública Municipal de Ensino de Belo Horizonte, proporcionando ao público (infantil, juve","A Mostra Udigrudi Mundial de Animação MUMIA está consolidada no cenário nacional. Consta no Guia de Festivais Brasileiros - Kinoforum, importante publicação anual de eventos na área audiovisual. A 7Âª","Mecenato","Realização da 7ª edição da Mostra Udigrudi Mundial de Animação MUMIA. O evento acontece anualmente e integra o calendário cultural de Belo Horizonte/MG. Tem por objetivo difundir e fomentar a produção cultural de filmes de animação independente, servindo como um canal para a exibição de animações de novos realizadores e, animadores que utilizam linguagens de experimentação. A 7ª Mostra acontecerá de 26 de outubro a 01 de novembro 2009, no Cine Humberto Mauro, Palácio das Artes, BH/MG.","Múmia é uma mostra anual de animações brasileiras e internacionais. Não há seleção de obras, todas as obras enviadas são exibidas.","Em sua sétima edição Múmia não prevê aquisição de material permanente.","2009-09-09","O cinema de animação ocupa um lugar em destaque no mercado audiovisual mundial. No Brasil são poucos os espaços que privilegiam essa linguagem. O presente projeto é uma iniciativa de realização d","Sávio Leite é Coordenador Geral Sávio Leite â€“ 12/03/71 â€“ Belo Horizonte. Currículo: Formado em Comunicação Social com Pós graduação em roteiro infanto juvenil. Mestre em Artes Visuais pela UFMG.","Etapas de Trabalho 1. Pré-produção/Preparação (15 dias): - Contratações profissionais ; - Inscrições; - Recebimento das animações . 2. Produção: (36 dias) - Tradução, legendagem e revisão da prog",,19,"7 Múmia , propõe como tema, o seguinte pensamento:Um aviso amigável:Não escondam as cabeças como avestruzes. Levantem seus olhos. Olhem em volta -Lá! É óbvio para mim, como para qualquer criança. A","2009-12-31"
,"Haverão pessoas voluntárias e contratação de pessoal para atendimento a portadores de necessidades especiais e idosos. O local do evento contará com rampa de acesso para entrada, saída e área de circu","","UBERABA COUNTRY MÚSICA","Oferecer 2.500 ingressos aos patrocinadores que farão a distribuição democraticamente entre seus clientes e pessoas da comunidade. Oferecer 2.500 ingressos, a serem distribuidos a alunos carentes da r","Falar da tradição de Uberaba em feiras agropecuárias é lembrar  sua importância no Município, no Estado , no País e no cenário internacional. O Projeto propõe a realização de um show musical na mesma","Mecenato","REALIZAÇÃO DE SHOW DE MÚSICA SERTANEJA","","","2009-09-01","-Realizar um show de música sertaneja estilo country com músicos renomados na arte musical e músicos da região, em uma grande apresentação; -Resgatar a música sertaneja estilo country, que tendo ocu","","A realização deste Projeto deverá ter início na data prevista, em 01 de setembro de 2009, pela Proponente, através de profissionais contratados, para as ações a seguir: 1)Contratação de serviços, pess",,20,"","2009-09-30"
